unique_1.4,corrected_1.4,unique_4.1.1,corrected_4.1.1,unique_4.1.2,corrected_4.1.2,unique_4.2.1,corrected_4.2.1,unique_4.2.2,corrected_4.2.2,unique_4.5.1,corrected_4.5.1,unique_4.5.2,corrected_4.5.2,unique_4.5.3,corrected_4.5.3,unique_4.5.4,corrected_4.5.4,unique_5.3,corrected_5.3,unique_5.5,corrected_5.5,unique_5.7,corrected_5.7,unique_5.9,corrected_5.9,unique_4.3.4,corrected_4.3.4,unique_4.3.3, corrected_4.3.3,unique_4.3.1,corrected_4.3.1,unique_4.3.2,corrected_4.3.2
all businesses,businesses,childcare,childcare centres,other,other,business,all businesses,businesses,all businesses,transport,public transport,curfew,partial curfew,all,cordon sanitaire,cordon sanitaire,all borders,EU,EU,test,pcr-test,EU,EU,single country,single border,0,0,0,0,0,0,0,0
business,businesses,childcare centre,childcare centres,kindergarten,kindergarten,businesses,all businesses,essential businesses,essential businesses,inter-regional,inter-regional travel,weekend curfew,weekend curfew,all travellers,cordon sanitaire,inter-regional travel,,all,all countries,all countries,new target needed?,all,all countries,multiple countries,multiple borders,gatherings,all gatherings ,1,1,1,1,1,1
businesses,businesses,childcare centres,childcare centres,news,news,essential business,essential businesses,non-essential business,non-essential businesses,inter-regional transport,inter-regional transport,age group,age group,test,pcr-test,domestic flights,,all travel,all travellers,EU,EU,all flights,all countries,family,other,event,all events ,5,5,10,10,5,5
zones,zones,secondary,secondary schools,childcare,childcare centres,ssential businesses,essential businesses,non-essential businesses,non-essential businesses,test,screening,zone,zones,vaccinated,vaccinated,essential travel,essential travel,quarantine,,news,news,limted flights,limited flights,vaccinated,vaccinated,events,all events ,10,10,2,2,10,10
age group,age group,schools,all schools,childcare centres,childcare centres,essential businesses,essential businesses,recreatio,recreation,pcr-test,screening,vaccinated,vaccinated,high-risk areas,multiple areas,non-essential travel,non-essential travel,Non-EU,non-EU,PCR,pcr-test,Non-EU,non-EU,vietnam,Vietnam,all ,all events ,gatherings,all gatherings ,5,5,wedding,weddings
vaccinated,vaccinated,primary,primary schools,non-covid,non-covid,non-essential business,non-essential businesses,recreation,recreation,vaccinated,vaccinated,unvaccinated,unvaccinated,inter-regional travel,,zones,zones,non-EU,non-EU,all travelers,all travellers,all travel,all countries,all countries,all borders,5,5,50,50,All gatherings,all gatherings,weddings,weddings
news,news,screening,screening,secondary,secondary schools,non-essential businesses,non-essential businesses,religion,religion,residents,residents,vulnerable groups,vunerable groups,Victoria,Victoria,quarantine,,business travel,Business,pcr test,pcr-test,news,news,news,news,50,50,2,2,all gatherings,all gatherings,2,2
spaces,public spaces,kindergartens,kindergarten,schools,all schools,religion,religion,venues,venues,forms,forms,non-essential travel,,vaccine,vaccinated,test,pcr-test,news,news,high risk countries,high-risk countries,Hong Kong,Hong Kong,business,business travel,10,10,all gatherings,all gatherings,household,household,50,50
vaccine,vaccinated,post-secondary,post-secondary schools,secondary school,secondary schools,all,all businesses,all,all businesses,non-resident,non-residents,age groups,age group,Wuhan,Wuhan,victoria,Victoria,medium-risk,multiple countries,zones,multiple countries,pcr-test,pcr-test,pcr-test,pcr-test,all events,all gatherings ,100,100,zones,zones,funeral,funerals
everyone,,test,screening,post-secondary,post-secondary schools,recreatio,recreation,all businesses,all businesses,screening,screening,cordon sanitaire,,medium-risk areas,multiple areas,all countries,,high risk countries,high-risk countries,quaratine,quarantine,high risk countries,high-risk countries,bosnia,Bosnia,all gathering,all gatherings ,zones,zones,6,6,gatherings,all
public,public spaces,kindergarden,kindergarten,primary,primary schools,recreation,recreation,other,other,non-residents,non-residents,non-covid,non-covid,NSW,New South Wales,pcr-test,pcr-test,test,pcr-test,rapid test,antigen test,limit flights,limited flights,most borders,multiple borders,all gatherings,all gatherings ,>10,10,3,3,20,20
>12,,tests,screening,state,,all businesses,all businesses,news,news,road closures,road closures,<18,,restricted exit,,new south wales,single border,non-schengen,non-Schengen,Taiwan,Taiwan,single county,single country,EU,EU,2,2,25,25,15,15,3,3
>2,,secondary school,secondary schools,Not known,,venue,venues,vaccinated,vaccinated,quarantine,,non-essential business,,all areas,cordon sanitaire,all travellers,,non-eea,non-EEA,medium-risk countries,new target needed?,all borders,,all travellers,all borders,100,100,All gathering,all gatherings,4,4,0 wedding,weddings
vaccines,vaccinated,secondary education,secondary schools,kindergartens,kindergarten,venues,venues,age groups,,essential travel,essential,paritial curfew,partial curfew,residents,non-residents,private transport,other,all travelers,all travellers,Hong Kong,Hong Kong,dubai,Dubai,high -risk countries,,All gathering,all gatherings ,All gatherings,all gatherings,NA,,15,15
public space,public spaces,post-secondary education,post-secondary schools,kindergarden,kindergarten,vaccinated,vaccinated,non-esssential,non-essential businesses,pass,covid-pass,zones zones,zones,Brisbane,Brisbane,multiple borders,partial borders,medium-risk countries,multiple countries,quarantine,quarantine,mulitple countrie,multiple countries,all flights,,All gatherings,all gatherings ,indoor,indoors ,20,20,0 weddings,weddings
>12,,state,,staff,staff,other,other,non essential,non-essential businesses,age group,age group,partial cutfew,partial curfew,pcr-test zones,"pcr-test, zones",road closures,partial borders,Schengen,Schengen,low risk countries,low-risk countries,non-EU,non-EU,Georgea,Georgia,zone,zones,outdoor,outdoors ,bubble,household,>1,1
>6,,non-covid,non-covid,higher education,post-secondary schools,covid pass,covid-pass,entertainmen,entertainment,inter district,inter-regional travel,curfews,partial curfew,Queensland,Queensland,northwest territories,northwest territories,screening,pcr-test,vaccination,vaccinated,mutlple countries,multiple countries,other,other,zones,zones,20,20,50,50,30,30
all,,pcr-tests,screening,kindergardens,kindergarten,news,news,entertainent,entertainment,cordone sanitare,cordon sanitaire,night curfew,partial curfew,Sydney,Sydney,restricted exit,,EU citizens,EU,non-EU,non-EU,single countr,single country,transit,other,500,500,>5,5,30,30,100,100
>13,,post secondary,post-secondary schools,seconday schools,secondary schools,non- essential business,non-essential businesses,hospiatlity,hospitality,covid pass,covid-pass,civil unrest,non-covid,queensland,Queensland,forms,,pcr-tes,pcr-test,multple countries,multiple countries,Schengen,Schengen,kazakistan,Kazakhstan,?500,500,outdoors,outdoors ,>10,10,zones,zones
>5,,seconadry schools,secondary schools,Childcare centres,childcare centres,test,screening,entertainment,entertainment,news,news,news,news,new south wales,New South Wales,north cyprus,north cyprus,zones,multiple countries,antigen test,antigen test,cap,multiple countries,eea,EEA,25,25,indoors,indoors ,2 households,2 households,outdoor,outdoors
exercise,exercise,primary school,primary schools,all school,all schools,pcr-test,screening,transport,other,PCR-test,screening,stay-at-home,stay at home,greater Brisbane,Greater Brisbane,south cyprus,south cyprus,age group,,Guangzhou,china (Gaungzhou),Tanzania,Tanzania,eu and schengen countries,Schengen,outdoor,,3,3,3 households,3 households,all gatherings,all
crowded spaces,public spaces,all school,all schools,education TV,other,most businesses,some businesses,sports,fitness,tests,screening,form,,borders,,greater Melbourne,greater melbourne,pcr-test,pcr-test,quarantines,quarantine,cargo,other,and south africa,South Africa,0,1000,>50,50,1 household,1 household,6,6
healthcare workers,staff,Kindergartens,kindergarten,post-secondary school,post-secondary schools,hospiatlity,hospitality,hopsitality,hospitality,vaccine,vaccinated,stay at home,stay at home,citizens,non-residents,amazonas,amazonas,mutliple countries,multiple countries,tests,pcr-test,mulitple countries,multiple countries,high risk countries,,sport,some events ,>2,2,25,25,25,25
travellers,non-residents,kindergaten,kindergarten,all eduction,all education,hospitalty,hospitality,essential services,essential businesses,65,,non-residents,,cordon sanitare,cordon sanitaire, northwest territories,northwest territories,essential travel,essential travel,essential travel,,United Kingdom,UK,students,other,outdoors,,0 indoor,0 indoors ,bubbles,household,>10,10
indoor public spaces,indoor spaces,vaccination,vaccinated,Universities,post-secondary schools,education,,commercial,retail,pcr-tests,screening,non-essential businesses,,Hubei,Hubei,other,,non-eu,non-EU,PCR test,pcr-test,Itlaly,Italy,gaza strip,OPT (Gaza Strip),indoors,indoors ,15,15,100,100,indoor,indoors
age group>13,age group,seconadary schools,secondary schools,some schools,zones,age group,,some businesses,some businesses,50%,,partial curfews,partial curfew,Ruili,Ruili,Kimberley,zones,business travellers,business,Guangdong,China (Guangdong),single countryKorea,"single country, Korea",gremany,Germany,sports,some events ,sport,some gatherings,outdoors,,All gatherings,all
no policy,no policy,unvaccinated,unvaccinated,vaccines,vaccinated,recovered,covid-pass,entertainement,entertainment,all travel,non-essential travel,recommended,,high risk areas,multiple areas,covid-pass,covid-pass,form,forms,non-essential travel,,vaccinated,vaccinated,luxenburg,Luxenbourg,20,20,30,30,>6,6,4,4
indoor spacess,indoor spaces,kindergardens,kindergarten,inter-regional transport,,age groups,,unvaccinated,unvaccinated,citizens,residents,pcr testing,screening,qingdao,Qingdao,vaccinated,vaccinated,pcr-tests,pcr-test,Schengen,Schengen,recovered,covid-pass,entry cap,other,>10,10,events,,>2,2,outdoors,outdoors
other,other,pass,covid-pass,inter-regional travel,,sports,fitness,recretaion,recreation,>65,,pcr-test,screening,all borders,cordon sanitaire,screening,screening,borders,neighbouring countries,covid pass,covid-pass,multple countries,multiple countries,quarantine,,1000,1000,0 indoors,0 indoors ,>5,5,>5,5
unvaccinated,unvaccinated,primary schoos,primary schools,post-seconday schools,post-secondary schools,tertainment,entertainment,office,offices,single area,zones,non-essesntial travel,,non-citizens,non-residents,inter-regional,Inter-regional travel,Taiwan,Taiwan,symptoms,symptomatic,private flights,other,individual cases,other,capacity,,250,250,two households,2 households,household,household
all travellers,non-residents,all educatio,all education,not covid,non-covid,50,,non-essential travel,,non-essential,non-essential travel,non- essential travel,,asymptomatic,other,tranel,Inter-regional travel,state,,testing,pcr-test,PCR tests,pcr-test,baltic region,Baltic region,250,250,sports,some gatherings,9,9,>2,2
outdoor space,outdoor spaces,post secondary schools,post-secondary schools,non-covid measure,non-covid,office,offices,entertinament,entertainment,50% capacity,public transport,stay at home zones,"stay at home, zones",New South Wales,New South Wales,inter-regonal transport,Inter-regional transport,non-symptomatic,,state,,US,US,baltic states,Baltic region,public event,,4,5,>15,15,NA,
religious,businesses,antigen tests,screening,kindergartdens,kindergarten,non essential business,non-essential businesses,pcr-test,screening,partial curfew,,children,age group,QLD,Queensland,news,news,pcr test,pcr-test,PCR- test,pcr-test,vietnam,Vietnam,low-risk countries,,3,3,<10,10,12,12,Weddings,weddings
>11,age group,kindergarterns,kindergarten,all schoools,all schools,some businesses,some businesses,restaurants,hospitality,<20,,screening,screening,WA,Western Australia,,,eu citizens,EU,recovered,covid-pass,multiple countries; UK,"multiple countries, UK",brazil and south africa,"Brazil, South africa",>2,2,>25,25,6 indoors,6 indoors,50 weddings,50 weddings
tansport,transport,higher education,post-secondary schools,secondary shcools,secondary schools,entertainmen,entertainment,non-essential retail,retail,inter-regonal transport,inter-regional transport,borders,,testing,pcr-test,,,high -risk countries,high-risk countries,rapid-test,antigen test,Porugal,Portugal,multiple countries. Most borders,multiple borders,public events,,6,6,non-family,,baptism,baptism
private spaces,indoor spaces,secondary scchools,secondary schools,one college,"post-secondary schools, zones",entertainent,entertainment,hospitalitybeauty,"beauty, hospitality",unvaccinated,unvaccinated,all travellers,,non-resident,non-residents,,,Students,education,qurantine,quarantine,all travellers,all countries,PCR-test,pcr-test,mass gathering,all gatherings ,500,500,>8,8,households,household
cases,symptomatic,post-secondary schoos,post-secondary schools,pcr-test,screening,healthcare,health,education,,multiple areas,zones,public transport,,hubei,Hubei,,,United Kingdom,UK,vaccination certificate,vaccinated,all shipping,other,Irak,Iraq,mass gatherings,all gatherings ,?500,500,<10,10,baptisms,baptism
indoors spaces,indoor spaces,zone,zones,primary schools. Other,"primary schools, other",screening,screening,enertainement,entertainment,pcr test,screening,funerals,,Shanxi,Shanxi,,,multple countries,multiple countries,pcr-tests,pcr-test,europe,EU,laos,Laos,>5,5,religion,some gatherings,bubble only,,0 indoor,0 indoors 
crowded public spaces,public spaces,essential workers,staff,prmioary schools,primary schools,entertaiment,entertainment,multiple,some businesses,masks,,variant of concern,zones,low-risk areas,multiple areas,,,All flights,,non-Schengen,non-Schengen,non-EU countries,non-EU,mutiple borders,multiple borders,30,30,religious,some gatherings,vaccinated,vaccinated ,50 funerals,50 funerals
non-residents,non-residents,students,,others,other,entertainments,entertainment,non-essential busineeses,non-essential businesses,inter-region travel,inter-regional travel,drill,,qingdao city,Qingdao,,,non-vaccinated,unvaccinated,business travel,business,multiplecountries,multiple countries,Sierra-Leone,Sierra-Leone,200,200,200,200,>50,50,>6,6
clinically vulnerable,vunerable groups,high school,secondary schools,seconadry schools,secondary schools,zone,zones,entertainment fitness,"entertainment, fitness",checkpoints,road closures,construction personel,,Longchuan,Lonhcguan,,,multple countires,multiple countries,self-isolation,quarantine,commercial,other,tunsia,Tunisia,0 indoors,0 indoors ,>100,100,holiday gatherings,,5 weddings,5 weddings
religion,businesses,summer schools,other,Kindergarten,kindergarten,essential bussinesses,essential businesses,entertaainment,entertainment,non-essentional travel,non-essential travel,state of Emergency,,contacts,other,,,non citizens,non-citizens,screeening,screening,multiple ountries,multiple countries,guinea bissau,Guinea-Bissau,>50,50,1000,1000,social bubbles,household,religious,religion
children,age group,al schools,all schools,post secondary,post-secondary schools,entertinament,entertainment,entertaiment,entertainment,high-risk groups,vunerable groups,all education,,yunnan,Yunnan,,,all travllers,all travellers,non-vaccinated,unvaccinated,postal,other,south america,South America,>25,25,household,household,indoor gatherings,indoor gatherings,0 indoors,0 indoors 
fitness,businesses,kingergarten,kindergarten,child care centres,childcare centres,Hopsitality,hospitality,reatil,retail,students,students,moscow,,kashgar,Kashgar,,,non-EU,non-EU,mulitple countries,multiple countries,seasonal workers,other,Cypriot Turkish land border,,sports events,some events ,>20,20,>6 gardens,6,<10,10
>12 yrs,,kinergarten,kindergarten,COVID pass,covid-pass,esential business,essential businesses,non-essential services,non-essential businesses,medium-risk area,multiple areas,saint petersburg,,inter-regional transport,"public transport, private transport",,,recovered,covid-pass,Shenzhen,China (Shenzhen),EEA,EEA,Norway and Finland,"Norway, Finland",50%,50% capacity ,10 indoor,10 indoors,>8 from 2 households indoors,8,150,150
fines,,nursery schools,kindergarten,secondary shools,secondary schools,wholesale,retail,non-essnetial businesses,non-essential businesses,high-risk area,multiple areas,everyone,,tennessee,Tennessee,,,families,family,neighbouring countries,neighbouring countries,multiple countried,multiple countries,non-business,non-essential travel,15,15,5 indoor,5 indoors ,5 indoors,5 indoors,>50,50
age groups,age group,preschools,kindergarten,yes,,entertainement,entertainment,healthcare,health,stay at home,non-essential travel,inter-regional travel,,non-esssential travel,non-essential travel,,,event,,facility-based,,single country; Russia,"single country, Russia",tanzania,Tanzania,Sport,some events ,50%,50% capacity ,<20,20,20 funerals,20 funerals
